epoch,accuracy,loss,val_accuracy,val_loss
0,0.590749979019165,1.3802258968353271,0.7749999761581421,0.7201172709465027
1,0.7037500143051147,0.9853439927101135,0.7820000052452087,0.6629745960235596
2,0.7329166531562805,0.8780774474143982,0.800000011920929,0.6056602001190186
3,0.746666669845581,0.8234876990318298,0.8109999895095825,0.5728974342346191
4,0.7636666893959045,0.7784357070922852,0.8090000152587891,0.6131316423416138
5,0.768916666507721,0.7396183013916016,0.8090000152587891,0.610722541809082
6,0.781583309173584,0.7143539786338806,0.8270000219345093,0.5718692541122437
7,0.7879166603088379,0.6783510446548462,0.824999988079071,0.5888615250587463
8,0.7960000038146973,0.6487919688224792,0.8360000252723694,0.5686903595924377
9,0.7975833415985107,0.6503040194511414,0.8240000009536743,0.571483850479126
10,0.8042500019073486,0.6227272152900696,0.8309999704360962,0.5854097604751587
11,0.812833309173584,0.6064993739128113,0.8149999976158142,0.5697884559631348
12,0.8168333172798157,0.581152617931366,0.8270000219345093,0.5705509185791016
13,0.8082500100135803,0.590217113494873,0.828000009059906,0.5958845019340515
14,0.8287500143051147,0.5482540130615234,0.8299999833106995,0.5652899742126465
15,0.8266666531562805,0.5422016382217407,0.8330000042915344,0.5795664191246033
16,0.8264166712760925,0.532888650894165,0.828000009059906,0.5447980165481567
17,0.8363333344459534,0.5088762640953064,0.8309999704360962,0.569542407989502
18,0.8357499837875366,0.5150559544563293,0.8330000042915344,0.5668299794197083
19,0.8426666855812073,0.4918091595172882,0.8360000252723694,0.567421019077301
