epoch,accuracy,loss,val_accuracy,val_loss
0,0.6085606217384338,1.3290787935256958,0.7509090900421143,0.8130871057510376
1,0.6952272653579712,1.0077414512634277,0.7699999809265137,0.7446632385253906
2,0.7261363863945007,0.9100969433784485,0.7909091114997864,0.6941756010055542
3,0.7426515221595764,0.8568313717842102,0.7699999809265137,0.7236148118972778
4,0.7493181824684143,0.8164291977882385,0.7854545712471008,0.70485520362854
5,0.7585605978965759,0.7923293113708496,0.7754545211791992,0.6934959292411804
6,0.7608333230018616,0.7730849981307983,0.8109090924263,0.6577541828155518
7,0.7664393782615662,0.7439931631088257,0.7881818413734436,0.6769253611564636
8,0.7737120985984802,0.725461483001709,0.7836363911628723,0.6778311729431152
9,0.7762120962142944,0.7152665853500366,0.7954545617103577,0.6111716628074646
10,0.7873485088348389,0.6815727353096008,0.807272732257843,0.6090799570083618
11,0.791287899017334,0.6562947630882263,0.7954545617103577,0.6445889472961426
12,0.7922727465629578,0.6547082662582397,0.7909091114997864,0.6364884972572327
13,0.8013636469841003,0.6303241848945618,0.8181818127632141,0.6157517433166504
14,0.8056818246841431,0.6122084259986877,0.807272732257843,0.6263412237167358
15,0.8112121224403381,0.6015022993087769,0.8172727227210999,0.605016827583313
16,0.8086363673210144,0.6047084927558899,0.7881818413734436,0.7054435014724731
17,0.8135606050491333,0.578801691532135,0.8154545426368713,0.6309295296669006
18,0.8062878847122192,0.5900186896324158,0.8090909123420715,0.6170324683189392
19,0.8174242377281189,0.5630282759666443,0.800000011920929,0.6243720054626465
20,0.8237878680229187,0.5479861497879028,0.8127272725105286,0.6389657855033875
21,0.8226515054702759,0.5444936752319336,0.800000011920929,0.6787891983985901
22,0.8271969556808472,0.5301567912101746,0.8263636231422424,0.5999958515167236
23,0.8314393758773804,0.5154513716697693,0.8009091019630432,0.6555914878845215
24,0.835303008556366,0.5079836845397949,0.803636372089386,0.6650521159172058
25,0.8276515007019043,0.5242330431938171,0.8127272725105286,0.6396082043647766
26,0.8397727012634277,0.4877564609050751,0.8054545521736145,0.6417643427848816
27,0.8401514887809753,0.4938371181488037,0.8109090924263,0.6574490070343018
28,0.8391666412353516,0.4866243898868561,0.7963636517524719,0.6661273837089539
29,0.845075786113739,0.47249555587768555,0.8090909123420715,0.6467564702033997
30,0.8459848761558533,0.47140809893608093,0.7981818318367004,0.6362662315368652
31,0.8480303287506104,0.4728572368621826,0.8045454621315002,0.6984157562255859
32,0.8570454716682434,0.45003876090049744,0.8145454525947571,0.6496679186820984
